,S_ID,Model,I_ID,Date,Offer,Month_id,Processor,OS,RAM,Year,,Sales
115,116,vostro,asia,2015-04-26,no,4,i7,Windows,16,2015,,13
116,117,vostro,asia,2015-04-27,no,4,i5,linux,8,2015,,5
117,118,vostro,asia,2015-04-28,no,4,i3,linux,16,2015,,10
118,119,vostro,asia,2015-04-29,no,4,i3,linux,8,2015,,11
119,120,vostro,asia,2015-04-30,no,4,i3,linux,8,2015,,12
120,121,vostro,asia,2015-05-01,no,5,i7,Windows,4,2015,,11
121,122,vostro,asia,2015-05-02,no,5,i9,Windows,16,2015,,9
122,123,vostro,asia,2015-05-03,no,5,i3,linux,16,2015,,14
123,124,vostro,asia,2015-05-04,no,5,i5,Windows,8,2015,,12
124,125,vostro,asia,2015-05-05,no,5,i3,Windows,8,2015,,9
125,126,vostro,asia,2015-05-06,no,5,i5,Windows,4,2015,,5
126,127,vostro,asia,2015-05-07,no,5,i3,Windows,4,2015,,6
127,128,vostro,asia,2015-05-08,no,5,i9,Windows,16,2015,,7
128,129,vostro,asia,2015-05-09,no,5,i7,Windows,16,2015,,12
129,130,vostro,asia,2015-05-10,no,5,i9,linux,4,2015,,10
130,131,vostro,asia,2015-05-11,no,5,i7,linux,16,2015,,11
131,132,vostro,asia,2015-05-12,no,5,i7,linux,4,2015,,6
132,133,vostro,asia,2015-05-13,no,5,i5,linux,16,2015,,10
133,134,vostro,asia,2015-05-14,no,5,i7,Windows,8,2015,,6
134,135,vostro,asia,2015-05-15,no,5,i5,Windows,8,2015,,13
135,136,vostro,asia,2015-05-16,no,5,i9,linux,8,2015,,5
136,137,vostro,asia,2015-05-17,no,5,i3,Windows,4,2015,,11
137,138,vostro,asia,2015-05-18,no,5,i7,linux,4,2015,,6
138,139,vostro,asia,2015-05-19,no,5,i5,Windows,4,2015,,4
139,140,vostro,asia,2015-05-20,no,5,i3,linux,4,2015,,4
140,141,vostro,asia,2015-05-21,no,5,i5,Windows,8,2015,,12
141,142,vostro,asia,2015-05-22,no,5,i7,linux,16,2015,,10
142,143,vostro,asia,2015-05-23,no,5,i5,linux,8,2015,,7
143,144,vostro,asia,2015-05-24,no,5,i5,linux,4,2015,,8
144,145,vostro,asia,2015-05-25,no,5,i7,Windows,16,2015,,15
145,146,vostro,asia,2015-05-26,no,5,i9,Windows,16,2015,,11
146,147,vostro,asia,2015-05-27,no,5,i7,linux,16,2015,,5
147,148,vostro,asia,2015-05-28,no,5,i7,Windows,4,2015,,11
148,149,vostro,asia,2015-05-29,no,5,i3,Windows,4,2015,,14
149,150,vostro,asia,2015-05-30,no,5,i3,Windows,8,2015,,5
150,151,vostro,asia,2015-05-31,no,5,i9,Windows,16,2015,,12
151,152,vostro,asia,2015-06-01,no,6,i7,linux,8,2015,,16
152,153,vostro,asia,2015-06-02,no,6,i9,Windows,8,2015,,10
153,154,vostro,asia,2015-06-03,no,6,i5,Windows,16,2015,,9
154,155,vostro,asia,2015-06-04,no,6,i5,linux,4,2015,,11
155,156,vostro,asia,2015-06-05,student,6,i3,linux,4,2015,,21
156,157,vostro,asia,2015-06-06,student,6,i9,linux,8,2015,,19
157,158,vostro,asia,2015-06-07,student,6,i7,Windows,4,2015,,19
158,159,vostro,asia,2015-06-08,student,6,i9,linux,16,2015,,23
159,160,vostro,asia,2015-06-09,student,6,i9,Windows,4,2015,,25
160,161,vostro,asia,2015-06-10,student,6,i7,Windows,16,2015,,24
161,162,vostro,asia,2015-06-11,student,6,i9,linux,4,2015,,32
162,163,vostro,asia,2015-06-12,no,6,i9,Windows,4,2015,,8
163,164,vostro,asia,2015-06-13,no,6,i3,Windows,4,2015,,12
164,165,vostro,asia,2015-06-14,no,6,i7,linux,4,2015,,13
165,166,vostro,asia,2015-06-15,no,6,i7,Windows,8,2015,,11
166,167,vostro,asia,2015-06-16,no,6,i9,Windows,16,2015,,12
167,168,vostro,asia,2015-06-17,no,6,i7,Windows,8,2015,,6
168,169,vostro,asia,2015-06-18,no,6,i5,linux,16,2015,,9
169,170,vostro,asia,2015-06-19,no,6,i5,linux,16,2015,,10
170,171,vostro,asia,2015-06-20,no,6,i5,linux,8,2015,,11
171,172,vostro,asia,2015-06-21,no,6,i9,Windows,4,2015,,14
172,173,vostro,asia,2015-06-22,no,6,i5,Windows,4,2015,,7
173,174,vostro,asia,2015-06-23,no,6,i5,linux,8,2015,,13
174,175,vostro,asia,2015-06-24,no,6,i3,Windows,8,2015,,8
175,176,vostro,asia,2015-06-25,no,6,i7,Windows,8,2015,,7
176,177,vostro,asia,2015-06-26,no,6,i9,linux,8,2015,,8
177,178,vostro,asia,2015-06-27,no,6,i5,Windows,4,2015,,12
178,179,vostro,asia,2015-06-28,no,6,i7,linux,4,2015,,17
179,180,vostro,asia,2015-06-29,no,6,i5,linux,16,2015,,4
180,181,vostro,asia,2015-06-30,no,6,i9,linux,16,2015,,10
181,182,vostro,asia,2015-07-01,no,7,i5,Windows,8,2015,,10
182,183,vostro,asia,2015-07-02,no,7,i3,linux,8,2015,,11
183,184,vostro,asia,2015-07-03,no,7,i7,Windows,16,2015,,10
184,185,vostro,asia,2015-07-04,no,7,i5,linux,4,2015,,9
185,186,vostro,asia,2015-07-05,no,7,i5,linux,16,2015,,11
186,187,vostro,asia,2015-07-06,student,7,i7,linux,8,2015,,18
187,188,vostro,asia,2015-07-07,student,7,i9,linux,4,2015,,24
188,189,vostro,asia,2015-07-08,student,7,i5,linux,8,2015,,32
189,190,vostro,asia,2015-07-09,student,7,i3,linux,16,2015,,24
190,191,vostro,asia,2015-07-10,student,7,i7,Windows,16,2015,,23
191,192,vostro,asia,2015-07-11,student,7,i3,Windows,8,2015,,28
192,193,vostro,asia,2015-07-12,student,7,i5,Windows,16,2015,,16
193,194,vostro,asia,2015-07-13,no,7,i9,linux,4,2015,,9
194,195,vostro,asia,2015-07-14,no,7,i7,Windows,4,2015,,9
195,196,vostro,asia,2015-07-15,no,7,i7,linux,8,2015,,9
196,197,vostro,asia,2015-07-16,no,7,i7,linux,8,2015,,14
197,198,vostro,asia,2015-07-17,no,7,i5,Windows,8,2015,,9
198,199,vostro,asia,2015-07-18,no,7,i5,Windows,16,2015,,7
199,200,vostro,asia,2015-07-19,no,7,i5,Windows,8,2015,,5
200,201,vostro,asia,2015-07-20,no,7,i3,linux,16,2015,,9
201,202,vostro,asia,2015-07-21,no,7,i3,Windows,16,2015,,10
202,203,vostro,asia,2015-07-22,no,7,i9,Windows,8,2015,,15
203,204,vostro,asia,2015-07-23,no,7,i9,linux,4,2015,,8
204,205,vostro,asia,2015-07-24,no,7,i3,linux,4,2015,,12
205,206,vostro,asia,2015-07-25,no,7,i5,linux,8,2015,,13
206,207,vostro,asia,2015-07-26,no,7,i3,linux,4,2015,,8
207,208,vostro,asia,2015-07-27,no,7,i5,Windows,16,2015,,9
208,209,vostro,asia,2015-07-28,no,7,i5,linux,8,2015,,8
209,210,vostro,asia,2015-07-29,no,7,i9,linux,8,2015,,13
210,211,vostro,asia,2015-07-30,no,7,i9,linux,8,2015,,11
211,212,vostro,asia,2015-07-31,no,7,i9,linux,16,2015,,9
212,213,vostro,asia,2015-08-01,no,8,i5,Windows,8,2015,,11
213,214,vostro,asia,2015-08-02,no,8,i9,linux,16,2015,,13
214,215,vostro,asia,2015-08-03,no,8,i5,linux,16,2015,,7
215,216,vostro,asia,2015-08-04,no,8,i7,Windows,16,2015,,11
216,217,vostro,asia,2015-08-05,no,8,i5,linux,16,2015,,12
217,218,vostro,asia,2015-08-06,no,8,i7,Windows,8,2015,,10
218,219,vostro,asia,2015-08-07,no,8,i3,Windows,8,2015,,7
219,220,vostro,asia,2015-08-08,no,8,i5,Windows,4,2015,,8
220,221,vostro,asia,2015-08-09,no,8,i7,Windows,4,2015,,14
221,222,vostro,asia,2015-08-10,no,8,i5,Windows,8,2015,,8
222,223,vostro,asia,2015-08-11,no,8,i3,linux,4,2015,,15
223,224,vostro,asia,2015-08-12,no,8,i3,Windows,16,2015,,10
224,225,vostro,asia,2015-08-13,no,8,i5,linux,16,2015,,6
225,226,vostro,asia,2015-08-14,no,8,i3,linux,8,2015,,5
226,227,vostro,asia,2015-08-15,no,8,i5,Windows,16,2015,,6
227,228,vostro,asia,2015-08-16,no,8,i7,Windows,8,2015,,6
228,229,vostro,asia,2015-08-17,no,8,i7,Windows,8,2015,,10
229,230,vostro,asia,2015-08-18,no,8,i9,Windows,4,2015,,11
230,231,vostro,asia,2015-08-19,no,8,i7,linux,8,2015,,7
231,232,vostro,asia,2015-08-20,no,8,i3,linux,16,2015,,9
232,233,vostro,asia,2015-08-21,no,8,i5,Windows,16,2015,,11
233,234,vostro,asia,2015-08-22,no,8,i7,linux,16,2015,,8
234,235,vostro,asia,2015-08-23,no,8,i7,Windows,16,2015,,11
235,236,vostro,asia,2015-08-24,no,8,i7,Windows,8,2015,,10
236,237,vostro,asia,2015-08-25,no,8,i7,linux,4,2015,,10
237,238,vostro,asia,2015-08-26,no,8,i5,linux,16,2015,,9
238,239,vostro,asia,2015-08-27,no,8,i9,Windows,16,2015,,9
239,240,vostro,asia,2015-08-28,no,8,i9,linux,8,2015,,12
240,241,vostro,asia,2015-08-29,no,8,i5,linux,16,2015,,11
241,242,vostro,asia,2015-08-30,no,8,i7,linux,16,2015,,11
242,243,vostro,asia,2015-08-31,no,8,i9,linux,8,2015,,11
243,244,vostro,asia,2015-09-01,no,9,i7,linux,4,2015,,10
244,245,vostro,asia,2015-09-02,no,9,i3,Windows,4,2015,,10
245,246,vostro,asia,2015-09-03,no,9,i5,linux,8,2015,,10
246,247,vostro,asia,2015-09-04,no,9,i7,Windows,8,2015,,9
247,248,vostro,asia,2015-09-05,no,9,i3,Windows,16,2015,,4
248,249,vostro,asia,2015-09-06,no,9,i7,Windows,4,2015,,10
249,250,vostro,asia,2015-09-07,no,9,i9,Windows,8,2015,,10
250,251,vostro,asia,2015-09-08,no,9,i7,Windows,16,2015,,9
251,252,vostro,asia,2015-09-09,no,9,i5,linux,4,2015,,11
252,253,vostro,asia,2015-09-10,no,9,i3,linux,4,2015,,4
253,254,vostro,asia,2015-09-11,no,9,i5,Windows,16,2015,,6
254,255,vostro,asia,2015-09-12,no,9,i7,Windows,8,2015,,6
255,256,vostro,asia,2015-09-13,no,9,i9,linux,4,2015,,6
256,257,vostro,asia,2015-09-14,no,9,i9,linux,16,2015,,9
257,258,vostro,asia,2015-09-15,no,9,i3,linux,16,2015,,8
258,259,vostro,asia,2015-09-16,no,9,i7,linux,4,2015,,13
259,260,vostro,asia,2015-09-17,no,9,i5,linux,16,2015,,9
260,261,vostro,asia,2015-09-18,no,9,i7,linux,16,2015,,4
261,262,vostro,asia,2015-09-19,no,9,i9,Windows,4,2015,,9
262,263,vostro,asia,2015-09-20,no,9,i7,linux,4,2015,,7
263,264,vostro,asia,2015-09-21,no,9,i5,linux,16,2015,,8
264,265,vostro,asia,2015-09-22,no,9,i7,linux,8,2015,,9
265,266,vostro,asia,2015-09-23,no,9,i5,linux,4,2015,,12
266,267,vostro,asia,2015-09-24,no,9,i9,linux,8,2015,,17
267,268,vostro,asia,2015-09-25,no,9,i7,Windows,4,2015,,8
268,269,vostro,asia,2015-09-26,no,9,i9,Windows,4,2015,,7
269,270,vostro,asia,2015-09-27,no,9,i5,linux,4,2015,,10
270,271,vostro,asia,2015-09-28,no,9,i9,Windows,8,2015,,8
271,272,vostro,asia,2015-09-29,no,9,i7,Windows,8,2015,,7
272,273,vostro,asia,2015-09-30,no,9,i3,Windows,8,2015,,9
273,274,vostro,asia,2015-10-01,no,10,i7,Windows,4,2015,,14
274,275,vostro,asia,2015-10-02,no,10,i9,Windows,16,2015,,10
275,276,vostro,asia,2015-10-03,no,10,i7,Windows,4,2015,,16
276,277,vostro,asia,2015-10-04,no,10,i7,Windows,8,2015,,6
277,278,vostro,asia,2015-10-05,no,10,i3,linux,16,2015,,13
278,279,vostro,asia,2015-10-06,no,10,i9,linux,8,2015,,8
279,280,vostro,asia,2015-10-07,no,10,i5,linux,16,2015,,12
280,281,vostro,asia,2015-10-08,no,10,i7,linux,16,2015,,17
281,282,vostro,asia,2015-10-09,no,10,i5,linux,4,2015,,12
282,283,vostro,asia,2015-10-10,no,10,i7,linux,4,2015,,11
283,284,vostro,asia,2015-10-11,no,10,i9,Windows,8,2015,,8
284,285,vostro,asia,2015-10-12,no,10,i7,Windows,4,2015,,8
285,286,vostro,asia,2015-10-13,no,10,i7,Windows,16,2015,,10
286,287,vostro,asia,2015-10-14,no,10,i3,Windows,16,2015,,8
287,288,vostro,asia,2015-10-15,no,10,i5,Windows,8,2015,,18
288,289,vostro,asia,2015-10-16,no,10,i3,linux,8,2015,,17
289,290,vostro,asia,2015-10-17,no,10,i5,linux,16,2015,,6
290,291,vostro,asia,2015-10-18,no,10,i5,linux,4,2015,,12
291,292,vostro,asia,2015-10-19,no,10,i5,linux,16,2015,,11
292,293,vostro,asia,2015-10-20,no,10,i5,Windows,4,2015,,13
293,294,vostro,asia,2015-10-21,no,10,i3,Windows,8,2015,,5
294,295,vostro,asia,2015-10-22,no,10,i5,linux,16,2015,,18
295,296,vostro,asia,2015-10-23,no,10,i3,Windows,4,2015,,12
296,297,vostro,asia,2015-10-24,no,10,i3,linux,16,2015,,12
297,298,vostro,asia,2015-10-25,no,10,i5,linux,8,2015,,10
298,299,vostro,asia,2015-10-26,no,10,i9,Windows,8,2015,,7
299,300,vostro,asia,2015-10-27,no,10,i5,Windows,16,2015,,14
300,301,vostro,asia,2015-10-28,no,10,i9,linux,4,2015,,11
301,302,vostro,asia,2015-10-29,no,10,i9,Windows,4,2015,,13
302,303,vostro,asia,2015-10-30,no,10,i5,linux,8,2015,,7
303,304,vostro,asia,2015-10-31,no,10,i9,Windows,8,2015,,12
304,305,vostro,asia,2015-11-01,no,11,i7,Windows,8,2015,,8
305,306,vostro,asia,2015-11-02,no,11,i9,Windows,4,2015,,7
306,307,vostro,asia,2015-11-03,no,11,i9,Windows,4,2015,,14
307,308,vostro,asia,2015-11-04,no,11,i3,linux,16,2015,,12
308,309,vostro,asia,2015-11-05,no,11,i5,Windows,4,2015,,8
309,310,vostro,asia,2015-11-06,no,11,i3,Windows,16,2015,,16
310,311,vostro,asia,2015-11-07,no,11,i7,Windows,16,2015,,10
311,312,vostro,asia,2015-11-08,diwali,11,i3,linux,4,2015,,31
312,313,vostro,asia,2015-11-09,diwali,11,i5,Windows,16,2015,,32
313,314,vostro,asia,2015-11-10,diwali,11,i5,linux,4,2015,,31
314,315,vostro,asia,2015-11-11,diwali,11,i3,Windows,16,2015,,23
315,316,vostro,asia,2015-11-12,diwali,11,i5,linux,4,2015,,28
316,317,vostro,asia,2015-11-13,diwali,11,i5,Windows,16,2015,,26
317,318,vostro,asia,2015-11-14,diwali,11,i7,linux,8,2015,,29
318,319,vostro,asia,2015-11-15,no,11,i3,Windows,8,2015,,9
319,320,vostro,asia,2015-11-16,no,11,i9,Windows,4,2015,,18
320,321,vostro,asia,2015-11-17,no,11,i7,Windows,8,2015,,11
321,322,vostro,asia,2015-11-18,no,11,i7,linux,16,2015,,10
322,323,vostro,asia,2015-11-19,no,11,i3,Windows,8,2015,,6
323,324,vostro,asia,2015-11-20,no,11,i7,linux,16,2015,,15
324,325,vostro,asia,2015-11-21,no,11,i5,linux,8,2015,,13
325,326,vostro,asia,2015-11-22,no,11,i7,linux,4,2015,,14
326,327,vostro,asia,2015-11-23,no,11,i3,linux,16,2015,,11
327,328,vostro,asia,2015-11-24,no,11,i9,linux,16,2015,,8
328,329,vostro,asia,2015-11-25,no,11,i3,linux,8,2015,,3
329,330,vostro,asia,2015-11-26,no,11,i3,Windows,16,2015,,7
330,331,vostro,asia,2015-11-27,no,11,i9,Windows,4,2015,,16
331,332,vostro,asia,2015-11-28,no,11,i7,linux,16,2015,,10
332,333,vostro,asia,2015-11-29,no,11,i7,Windows,16,2015,,7
333,334,vostro,asia,2015-11-30,no,11,i5,linux,8,2015,,12
334,335,vostro,asia,2015-12-01,no,12,i5,Windows,16,2015,,11
335,336,vostro,asia,2015-12-02,no,12,i3,linux,4,2015,,13
336,337,vostro,asia,2015-12-03,no,12,i9,linux,16,2015,,5
337,338,vostro,asia,2015-12-04,no,12,i5,Windows,8,2015,,8
338,339,vostro,asia,2015-12-05,no,12,i9,linux,8,2015,,9
339,340,vostro,asia,2015-12-06,no,12,i5,Windows,8,2015,,14
340,341,vostro,asia,2015-12-07,no,12,i9,Windows,4,2015,,13
341,342,vostro,asia,2015-12-08,no,12,i3,linux,4,2015,,10
342,343,vostro,asia,2015-12-09,no,12,i5,linux,4,2015,,9
343,344,vostro,asia,2015-12-10,no,12,i9,Windows,8,2015,,11
344,345,vostro,asia,2015-12-11,no,12,i5,Windows,16,2015,,8
345,346,vostro,asia,2015-12-12,no,12,i9,linux,4,2015,,8
346,347,vostro,asia,2015-12-13,no,12,i5,Windows,4,2015,,14
347,348,vostro,asia,2015-12-14,no,12,i9,linux,4,2015,,12
348,349,vostro,asia,2015-12-15,no,12,i5,linux,16,2015,,6
349,350,vostro,asia,2015-12-16,no,12,i3,linux,4,2015,,12
350,351,vostro,asia,2015-12-17,no,12,i3,Windows,8,2015,,13
351,352,vostro,asia,2015-12-18,no,12,i9,Windows,4,2015,,6
352,353,vostro,asia,2015-12-19,no,12,i7,Windows,8,2015,,11
353,354,vostro,asia,2015-12-20,no,12,i9,Windows,4,2015,,15
354,355,vostro,asia,2015-12-21,no,12,i3,Windows,16,2015,,10
355,356,vostro,asia,2015-12-22,christmas,12,i7,Windows,8,2015,,19
356,357,vostro,asia,2015-12-23,christmas,12,i3,Windows,16,2015,,19
357,358,vostro,asia,2015-12-24,christmas,12,i5,Windows,4,2015,,25
358,359,vostro,asia,2015-12-25,christmas,12,i5,Windows,16,2015,,22
359,360,vostro,asia,2015-12-26,christmas,12,i7,linux,16,2015,,13
360,361,vostro,asia,2015-12-27,christmas,12,i3,linux,4,2015,,16
361,362,vostro,asia,2015-12-28,christmas,12,i3,Windows,16,2015,,21
362,363,vostro,asia,2015-12-29,no,12,i9,linux,8,2015,,11
363,364,vostro,asia,2015-12-30,no,12,i9,linux,8,2015,,12
364,365,vostro,asia,2015-12-31,no,12,i7,Windows,4,2015,,11
365,366,vostro,asia,2016-01-01,no,13,i7,Windows,4,2016,,6
366,367,vostro,asia,2016-01-02,no,13,i7,linux,4,2016,,7
367,368,vostro,asia,2016-01-03,no,13,i5,Windows,8,2016,,13
368,369,vostro,asia,2016-01-04,no,13,i7,Windows,8,2016,,12
369,370,vostro,asia,2016-01-05,no,13,i7,linux,8,2016,,11
370,371,vostro,asia,2016-01-06,no,13,i3,Windows,16,2016,,17
371,372,vostro,asia,2016-01-07,no,13,i7,Windows,16,2016,,13
372,373,vostro,asia,2016-01-08,no,13,i7,Windows,8,2016,,11
373,374,vostro,asia,2016-01-09,no,13,i5,Windows,16,2016,,11
374,375,vostro,asia,2016-01-10,no,13,i9,linux,4,2016,,6
375,376,vostro,asia,2016-01-11,no,13,i9,Windows,4,2016,,10
376,377,vostro,asia,2016-01-12,no,13,i7,linux,8,2016,,5
377,378,vostro,asia,2016-01-13,no,13,i5,Windows,8,2016,,7
378,379,vostro,asia,2016-01-14,no,13,i5,linux,4,2016,,12
